,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_units,standard_value,type,units,uo_units,upper_value,value
0,-1,33969,[],546,581,1,1,4,3,2008,-1,-1,99,10,2004.0,"{'bei': '19.61', 'le': '0.36', 'lle': '3.32', 'sei': '9.21'}",664,-1,870,244,0,1,252547,1,1,1,1,4,2508,1,23,0,-1,429
1,-1,37563,[],546,581,1,1,4,3,5960,-1,-1,99,10,2004.0,"{'bei': '18.57', 'le': '0.38', 'lle': '2.45', 'sei': '13.72'}",2982,-1,3036,332,0,1,252533,1,1,1,1,4,151,1,23,0,-1,253
2,-1,37565,[],546,581,1,1,4,3,2149,-1,-1,99,10,2004.0,,632,-1,839,-1,0,1,252530,2,1,1,2,4,1985,1,23,0,-1,2061
3,-1,38902,[],546,581,1,1,4,3,5959,-1,-1,99,10,2004.0,"{'bei': '16.11', 'le': '0.34', 'lle': '1.81', 'sei': '12.78'}",607,-1,814,284,0,1,252534,1,1,1,1,4,1370,1,23,0,-1,326
4,-1,41170,[],546,581,1,1,4,3,4498,-1,-1,99,10,2004.0,"{'bei': '17.60', 'le': '0.36', 'lle': '3.00', 'sei': '10.12'}",605,-1,812,242,0,1,252552,1,1,1,1,4,2618,1,23,0,-1,442
5,-1,42363,[],546,581,1,1,4,3,4492,-1,-1,99,10,2004.0,"{'bei': '16.60', 'le': '0.32', 'lle': '1.54', 'sei': '11.01'}",596,-1,804,194,0,1,252551,1,1,1,1,4,1095,1,23,0,-1,1108
6,-1,43561,[],546,581,1,1,4,3,4494,-1,-1,99,10,2004.0,"{'bei': '23.59', 'le': '0.50', 'lle': '4.15', 'sei': '13.72'}",595,-1,803,332,0,1,252525,1,1,1,1,4,151,1,23,0,-1,253
7,-1,44825,[],546,581,1,1,4,3,1226,-1,-1,99,10,2004.0,,2992,-1,3046,-1,0,1,252538,2,1,1,2,4,1985,1,23,0,-1,2061
8,-1,45908,[],546,581,1,1,4,3,3702,-1,-1,99,10,2004.0,"{'bei': '20.85', 'le': '0.42', 'lle': '3.89', 'sei': '10.12'}",2985,-1,3039,242,0,1,252527,1,1,1,1,4,2618,1,23,0,-1,442
9,-1,45910,[],546,581,1,1,4,3,4499,3,2,99,10,2004.0,,620,-1,827,-1,1,1,252549,2,1,1,2,4,1985,1,23,0,-1,2061
10,-1,47176,[],546,581,1,1,4,3,2014,-1,-1,99,10,2004.0,,3086,-1,3121,-1,0,1,252536,2,1,1,2,4,1985,1,23,0,-1,2061
11,-1,48497,[],546,581,1,1,4,3,4500,-1,-1,99,10,2004.0,"{'bei': '23.37', 'le': '0.45', 'lle': '3.95', 'sei': '14.31'}",2932,-1,2986,362,0,1,252542,1,1,1,1,4,1980,1,23,0,-1,209
12,-1,49173,[],538,24,1,1,4,3,4579,-1,-1,28,5,1998.0,,453,-1,675,-1,0,1,232619,2,1,1,2,4,156,1,23,0,-1,629
13,-1,49921,[],546,581,1,1,4,3,4489,-1,-1,99,10,2004.0,"{'bei': '18.47', 'le': '0.36', 'lle': '2.39', 'sei': '12.25'}",2998,-1,3052,257,0,1,252543,1,1,1,1,4,2118,1,23,0,-1,392
